Reason Code,Reason Description,Asset Impact,Traffic,Due Date,Priority
OTHR,General maintenance check completed under the regular schedule.,Medium,Low,11,Normal
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Low,6,Normal
TOHE,OHE alignment issue detected affecting current collection; urgent maintenance recommended.,High,High,2,Critical
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,Medium,Low,-4,Urgent
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,High,High,0,Critical
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,High,-3,Critical
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Medium,High,2,Urgent
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,Medium,-3,Critical
OTHR,General maintenance check completed under the regular schedule.,Medium,Medium,8,Moderate
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,Medium,Low,-2,Urgent
OTHR,General maintenance check completed under the regular schedule.,Low,Medium,7,Moderate
TOHE,Minor OHE wear detected during inspection; maintenance can be planned within the week.,Low,Medium,6,Moderate
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Medium,Low,0,Moderate
TOHE,OHE contact wire severely worn and at risk of snapping; immediate maintenance necessary.,Medium,Medium,-5,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Medium,7,Moderate
OTHR,General maintenance check completed under the regular schedule.,Low,Low,9,Normal
TOHE,OHE contact wire severely worn and at risk of snapping; immediate maintenance necessary.,High,High,-5,Critical
OTHR,General maintenance check completed under the regular schedule.,Medium,Low,10,Normal
OTHR,Standard general maintenance check completed with no issues found.,Medium,High,14,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,3,Normal
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,Medium,0,Urgent
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Low,High,3,Urgent
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,High,Medium,-1,Critical
TOHE,OHE alignment issue detected affecting current collection; urgent maintenance recommended.,High,Low,1,Urgent
EOMT,Material train scheduling clash is delaying track possession; needs urgent resolution.,Medium,Medium,2,Urgent
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Low,Low,1,Moderate
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,Medium,Medium,0,Critical
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Medium,13,Normal
STEL,Communication equipment fault causing intermittent signal loss; urgent repair recommended.,Medium,Medium,1,Urgent
TPWR,Traction power interruption reported on the corridor causing service delays; needs urgent repair.,Medium,Medium,1,Urgent
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Low,-3,Critical
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,Low,-1,Critical
SREP,Routine signalling equipment upkeep as per periodic schedule.,Medium,Medium,5,Moderate
TPWR,Traction power system logged as normal during the latest periodic check.,Medium,Medium,4,Moderate
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Low,Low,3,Moderate
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,Medium,High,-3,Critical
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,High,High,-4,Critical
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,Medium,Low,-3,Urgent
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,Medium,0,Critical
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Medium,-4,Critical
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,High,7,Urgent
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Medium,High,5,Urgent
SSIG,Standard signal equipment check completed with no issues found.,Low,High,12,Moderate
OTHR,Unclassified maintenance issue is affecting normal operations; urgent attention recommended.,High,High,1,Critical
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Medium,Low,4,Moderate
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Low,13,Normal
TPWR,Periodic traction power equipment check completed with no issues found.,Medium,Low,6,Moderate
TOHE,OHE contact wire severely worn and at risk of snapping; immediate maintenance necessary.,Medium,Low,0,Urgent
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Low,4,Normal
OTHR,Minor miscellaneous issue noted during inspection; can be addressed within the week.,Medium,Medium,1,Urgent
STEL,Standard telecom equipment check completed under periodic maintenance.,Medium,Low,10,Normal
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,High,High,-4,Critical
TPWR,Scheduled traction power equipment check showing early wear signs; can be addressed in the coming days.,Medium,Medium,1,Urgent
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,High,1,Urgent
OTHR,Standard general maintenance check completed with no issues found.,Low,Low,6,Normal
EOMT,Material train derailment risk identified due to loose ballast on the approach; immediate clearance needed.,Medium,Low,-1,Urgent
SREP,Signalling equipment fault detected affecting reliability; urgent repair recommended.,High,Low,2,Urgent
TREP,Routine electrical equipment servicing as per maintenance schedule.,Medium,High,6,Moderate
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,Medium,Medium,-2,Critical
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,High,4,Urgent
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Medium,2,Urgent
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Medium,6,Moderate
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Low,Low,5,Moderate
TPWR,Periodic traction power equipment check completed with no issues found.,Low,High,3,Moderate
OTHR,Unclassified infrastructure fault poses an immediate safety concern; urgent action required.,High,Medium,-4,Critical
SSIG,Slight signal timing deviation observed; can be corrected within the week.,Low,High,0,Urgent
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,Low,7,Normal
ETMR,Track geometry failure detected posing an immediate derailment risk; urgent repair required.,High,High,-5,Critical
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Medium,Low,6,Moderate
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",Medium,Medium,-5,Critical
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Low,High,3,Urgent
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,Medium,High,-2,Critical
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Medium,11,Normal
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Medium,12,Normal
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,Medium,6,Moderate
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Low,5,Normal
ERRL,Severe rail fracture detected on the running line; immediate replacement required to prevent derailment.,Medium,Low,-3,Urgent
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Medium,Medium,2,Urgent
TPWR,"OHE wire snapped near the station yard, posing immediate electrocution and traffic hazard; urgent power block required.",High,Low,0,Critical
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Medium,-3,Critical
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Medium,Medium,13,Moderate
STEL,Telecom equipment condition slightly below standard; can be addressed in the coming days.,Low,High,5,Urgent
EOMT,Standard material train scheduling update for periodic track renewal work.,Medium,Low,5,Moderate
OTHR,Standard general maintenance check completed with no issues found.,Low,Medium,12,Normal
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,High,4,Urgent
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,9,Normal
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Medium,Low,14,Normal
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Low,10,Normal
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,High,-3,Critical
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Low,High,4,Urgent
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Low,Medium,6,Moderate
TREP,Major electrical fault detected in traction substation equipment; immediate repair required to prevent outage.,High,Medium,-5,Critical
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,4,Normal
ETMW,Periodic track machine inspection completed as scheduled; equipment functioning normally.,Low,Low,12,Normal
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,High,5,Moderate
TPWR,Traction power equipment showing slight deviation from standard; can be addressed in the coming days.,Low,Medium,5,Moderate
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,High,0,Urgent
TREP,Electrical equipment showing minor performance dip; can be addressed in the coming days.,Medium,Low,0,Moderate
STEL,Routine telecom equipment testing as per maintenance calendar.,Medium,High,4,Urgent
EOMT,Standard material train scheduling update for periodic track renewal work.,Medium,Low,7,Moderate
SREP,Signalling equipment check completed under the regular maintenance cycle.,Medium,High,5,Urgent
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Low,Medium,4,Moderate
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,Medium,Medium,0,Critical
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Low,Low,0,Moderate
ETMW,"Scheduled track machine servicing due; minor calibration drift observed, can be addressed in the coming days.",Medium,Medium,0,Urgent
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,High,Low,-3,Critical
ERRL,Rail section nearing renewal threshold as per condition monitoring; can be addressed in the coming days.,Medium,Medium,3,Urgent
ETMW,Track tamping machine malfunction causing irregular track geometry; requires urgent repair before next scheduled traffic.,High,Low,1,Urgent
STEL,Telecom equipment showing frequent connectivity drops affecting coordination; urgent attention needed.,High,Low,2,Urgent
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Low,8,Normal
STEL,Telecom system failure has cut off communication with the field; immediate restoration required.,Medium,High,-5,Critical
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,Medium,Low,-5,Urgent
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,High,Medium,-4,Critical
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Medium,High,4,Urgent
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Medium,Medium,3,Urgent
EOMT,"Material train loading operation delayed, blocking siding access; needs prompt resolution.",High,Low,1,Urgent
SREP,Standard signalling equipment check completed under regular maintenance.,Medium,Medium,9,Moderate
OTHR,General maintenance check completed under the regular schedule.,Medium,High,4,Urgent
TPWR,Traction power supply fluctuation affecting multiple sections; requires urgent attention.,Medium,Low,2,Urgent
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,Low,5,Normal
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Medium,High,5,Urgent
SSIG,Signal relay showing erratic behaviour affecting reliability; urgent maintenance recommended.,High,Low,1,Urgent
SREP,Signalling relay malfunction detected; urgent repair needed to avoid service impact.,Medium,High,1,Critical
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,Low,6,Moderate
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Medium,8,Moderate
ETMR,Slight track unevenness observed on routine patrol; repair can be planned within the week.,Low,High,6,Moderate
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,High,4,Moderate
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,7,Normal
SREP,Signalling equipment check completed under the regular maintenance cycle.,Medium,Low,3,Moderate
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Low,High,4,Urgent
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Medium,Medium,4,Urgent
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Medium,9,Moderate
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,High,0,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,High,11,Moderate
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Medium,High,0,Urgent
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Low,Medium,0,Moderate
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Medium,12,Normal
SREP,Routine signalling equipment upkeep as per periodic schedule.,Medium,High,13,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,High,3,Moderate
TOHE,Routine OHE cleaning and inspection as per periodic schedule.,Low,Low,6,Normal
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Low,High,12,Moderate
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,Medium,-2,Critical
ERRL,Rail section nearing renewal threshold as per condition monitoring; can be addressed in the coming days.,Low,Medium,1,Moderate
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,12,Normal
ERRL,Significant rail wear beyond permissible limits identified during inspection; replacement needed soon.,Medium,Low,2,Urgent
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,Low,13,Normal
STEL,Standard telecom equipment check completed under periodic maintenance.,Medium,Medium,9,Moderate
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Medium,Medium,4,Urgent
TOHE,Standard OHE upkeep carried out under regular maintenance programme.,Low,Low,5,Normal
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Low,11,Normal
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,High,High,-1,Critical
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,Medium,High,-1,Critical
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,High,-2,Critical
OTHR,Miscellaneous maintenance issue with significant operational impact identified.,High,High,1,Critical
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,High,Medium,0,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,Low,9,Normal
TOHE,OHE inspection completed as part of the regular maintenance programme.,Low,Low,9,Normal
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,High,14,Moderate
SREP,Signalling equipment failure detected at a key interlocking point; immediate repair necessary for safe operations.,High,High,-4,Critical
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,Low,1,Moderate
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,Medium,Low,0,Urgent
STEL,Standard telecom equipment check completed under periodic maintenance.,Medium,High,7,Moderate
OTHR,General infrastructure fault reported requiring urgent attention to avoid disruption.,High,Low,1,Urgent
OTHR,General maintenance item found slightly below standard; can be addressed in the coming days.,Medium,High,7,Urgent
SSIG,Routine signal maintenance as per periodic inspection calendar.,Medium,Low,5,Moderate
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,High,-3,Critical
ETMR,Routine track patrol maintenance as per periodic schedule.,Low,Low,9,Normal
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,Medium,Medium,-5,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Low,Medium,11,Normal
STEL,Telecom equipment fault is disrupting coordination; urgent repair recommended.,High,High,1,Critical
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,Low,9,Normal
ETMR,Track alignment fault found during inspection; urgent correction recommended.,High,Medium,2,Critical
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Low,Medium,6,Moderate
SREP,Point machine failure at a critical junction affecting train safety; immediate repair required.,Medium,High,-2,Critical
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,High,Medium,-1,Critical
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,High,2,Urgent
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Low,Low,4,Normal
SSIG,Standard signal equipment check completed with no issues found.,Low,Medium,14,Normal
TPWR,Sudden traction power failure has halted electric train operations; immediate restoration required.,Medium,Medium,-5,Critical
OTHR,Unclassified critical infrastructure issue reported requiring immediate attention.,High,Low,0,Critical
TOHE,OHE insulator failure causing sparking incidents; immediate maintenance required to avoid service disruption.,High,Medium,-2,Critical
TOHE,OHE inspection completed as part of the regular maintenance programme.,Low,Medium,13,Normal
EOMT,"Material train loading operation delayed, blocking siding access; needs prompt resolution.",High,Low,2,Urgent
ERRL,Critical rail defect identified during ultrasonic testing; immediate renewal necessary for safe operations.,Medium,Low,-3,Urgent
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,Low,11,Normal
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Low,13,Normal
TPWR,Traction power system fault has left the section without power supply; immediate restoration required.,High,Low,-1,Critical
SREP,Signalling equipment fault at a key location is affecting safe train working; immediate repair required.,High,Low,-5,Critical
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,Medium,Medium,-1,Critical
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Medium,Low,10,Normal
EOMT,Material train scheduling clash is delaying track possession; needs urgent resolution.,Medium,Low,2,Urgent
ERRL,Moderate rail wear observed during routine inspection; renewal can be planned within the week.,Medium,High,6,Urgent
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Low,6,Moderate
SREP,Minor signalling equipment fault noted; repair can be planned within the week.,Medium,High,7,Urgent
TOHE,OHE component slightly below standard condition; can be addressed in the coming days.,Medium,Low,0,Moderate
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Low,Low,3,Moderate
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Low,Low,1,Moderate
ETMR,Severe track misalignment detected posing derailment risk; immediate correction needed.,High,Medium,-2,Critical
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Medium,4,Moderate
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Medium,12,Normal
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Medium,10,Normal
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,High,High,-4,Critical
ERRL,Rail crack found extending across the running surface; immediate replacement required to prevent failure.,Medium,High,-5,Critical
SSIG,Signal equipment fault detected affecting reliability; urgent maintenance recommended.,High,High,2,Critical
SSIG,Signal equipment showing minor irregularities during routine check; can be addressed in the coming days.,Low,High,4,Urgent
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,Low,-2,Critical
STEL,Minor telecom connectivity issue observed during inspection; can be resolved within the week.,Medium,High,4,Urgent
OTHR,Standard general maintenance check completed with no issues found.,Low,Low,5,Normal
TREP,Electrical equipment showing performance degradation; can be addressed in the coming days.,Low,High,6,Moderate
SREP,Signalling equipment condition slightly below standard; can be addressed in the coming days.,Medium,Medium,5,Urgent
TREP,Routine electrical equipment servicing as per maintenance schedule.,Medium,Medium,8,Moderate
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Medium,Medium,0,Urgent
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Medium,Medium,4,Urgent
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Low,Low,5,Normal
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,Medium,11,Moderate
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,Medium,5,Urgent
SSIG,Routine signal maintenance as per periodic inspection calendar.,Low,High,7,Moderate
ETMR,Track maintenance logged as completed under the regular upkeep cycle.,Low,Low,4,Normal
ETMR,Minor track geometry deviation noted during inspection; can be addressed in the coming days.,Low,High,1,Urgent
ERRL,Scheduled rail replacement under normal asset renewal programme.,Low,Low,3,Normal
OTHR,General maintenance check completed under the regular schedule.,Low,Low,13,Normal
ETMR,Track geometry deviation beyond permissible limits found during inspection; urgent repair needed.,Medium,High,1,Critical
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Low,High,7,Moderate
EOMT,Routine material train logistics coordination for upcoming ballast supply.,Low,High,12,Moderate
SREP,Routine signalling equipment upkeep as per periodic schedule.,Low,Low,10,Normal
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,Medium,Medium,-2,Critical
ETMW,Track machine performance slightly below standard; servicing can be planned within the week.,Low,Medium,7,Moderate
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,High,Low,-3,Critical
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Medium,Low,3,Moderate
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Medium,High,5,Urgent
ETMW,"Scheduled track machine servicing due; minor calibration drift observed, can be addressed in the coming days.",Medium,High,1,Urgent
ERRL,Rail corrugation exceeding safe limits detected on the section; replacement recommended urgently.,High,Medium,2,Critical
STEL,Routine telecom equipment testing as per maintenance calendar.,Medium,High,14,Moderate
TREP,Routine electrical equipment servicing as per maintenance schedule.,Low,Low,13,Normal
SREP,Routine signalling equipment upkeep as per periodic schedule.,Medium,Low,14,Normal
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Low,Low,2,Moderate
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Low,High,6,Moderate
TREP,Electrical equipment malfunction causing intermittent traction supply issues; urgent repair required.,Medium,Low,2,Urgent
ETMW,"Track machine fault occurred while occupying the running line, creating an unsafe condition for oncoming trains; immediate action required.",Medium,Medium,-3,Critical
SREP,Standard signalling equipment check completed under regular maintenance.,Low,Low,7,Normal
SSIG,Signal failure at the junction causing manual working; immediate rectification required to restore safe operations.,Medium,High,-2,Critical
ETMW,Track tamping machine malfunction causing irregular track geometry; requires urgent repair before next scheduled traffic.,Medium,Medium,1,Urgent
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Medium,Medium,8,Moderate
ERRL,Routine rail renewal as part of periodic asset lifecycle replacement.,Medium,Low,11,Normal
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,Low,-5,Critical
ETMW,Routine preventive check of track machine as per maintenance calendar; no anomalies reported.,Medium,High,12,Moderate
OTHR,Urgent miscellaneous fault reported with significant safety implications; immediate action required.,High,Medium,-2,Critical
ETMR,Routine track patrol maintenance as per periodic schedule.,Medium,Low,11,Normal
ETMW,Track machine calibration slightly off standard; can be addressed in the coming days.,Medium,High,4,Urgent
STEL,Telecom equipment showing frequent connectivity drops affecting coordination; urgent attention needed.,High,High,1,Critical
SREP,Signalling equipment showing intermittent faults affecting reliability; urgent repair recommended.,Medium,High,2,Critical
ETMR,Standard track upkeep carried out as part of regular maintenance cycle.,Low,Medium,10,Normal
ETMR,Track alignment fault found during inspection; urgent correction recommended.,Medium,High,1,Critical
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,Medium,Medium,-5,Critical
EOMT,Material train unloading slightly behind schedule; can be resolved in the coming days.,Low,Medium,7,Moderate
TREP,Electrical equipment malfunction causing intermittent traction supply issues; urgent repair required.,High,Low,2,Urgent
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Low,Medium,13,Normal
TREP,Critical electrical panel failure at the substation risking traction power outage; immediate repair needed.,Medium,Medium,-1,Critical
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,Medium,Low,-4,Urgent
EOMT,"Material train loading operation delayed, blocking siding access; needs prompt resolution.",High,High,1,Critical
TPWR,Routine traction power system inspection as per maintenance calendar.,Low,Medium,10,Normal
ERRL,Rail corrugation exceeding safe limits detected on the section; replacement recommended urgently.,Medium,High,1,Critical
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,Low,-4,Critical
STEL,Total loss of telecom connectivity on the section disrupting coordination; immediate restoration necessary.,Medium,High,-5,Critical
ETMW,Track machine logged as functioning normally during the latest periodic check.,Medium,Low,5,Moderate
ETMR,Routine track patrol maintenance as per periodic schedule.,Medium,Medium,3,Moderate
OTHR,General maintenance item found slightly below standard; can be addressed in the coming days.,Medium,High,3,Urgent
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Low,Medium,6,Moderate
SREP,Signalling equipment check completed under the regular maintenance cycle.,Low,Low,6,Normal
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,Low,4,Moderate
TOHE,OHE conductor damage found posing an immediate safety hazard; urgent maintenance required.,Medium,High,-2,Critical
OTHR,General maintenance check completed under the regular schedule.,Low,Low,3,Normal
SREP,Signalling equipment showing wear during inspection; can be addressed in the coming days.,Medium,High,3,Urgent
SREP,Signalling equipment fault at a key location is affecting safe train working; immediate repair required.,Medium,Medium,-4,Critical
ETMW,Track machine logged as functioning normally during the latest periodic check.,Low,Low,8,Normal
OTHR,General maintenance check completed under the regular schedule.,Medium,High,7,Moderate
TREP,Electrical equipment fault at the substation has caused a loss of supply; immediate repair required.,High,Medium,-2,Critical
EOMT,Material train movement obstruction reported affecting adjacent line clearance; requires urgent attention.,Medium,Medium,1,Urgent
STEL,Telecom equipment check completed under the regular maintenance schedule.,Medium,Medium,7,Moderate
EOMT,Material train movement scheduling conflict with regular traffic; can be resolved in the coming days.,Low,Low,2,Moderate
SSIG,Signal equipment check completed as part of the regular inspection cycle.,Medium,Low,13,Normal
TPWR,Traction power parameters slightly outside normal range; can be corrected within the week.,Medium,Medium,6,Moderate
OTHR,Routine miscellaneous upkeep task as per maintenance calendar.,Low,Low,7,Normal
EOMT,Unsafe material train loading condition reported at the yard; immediate corrective action required.,High,High,-5,Critical
OTHR,Standard general maintenance check completed with no issues found.,Medium,Low,12,Normal
EOMT,Standard material train scheduling update for periodic track renewal work.,Low,Low,9,Normal
SREP,Signalling equipment fault detected affecting reliability; urgent repair recommended.,Medium,Low,1,Urgent
EOMT,Minor delay in material train unloading noted; can be adjusted within the week.,Medium,High,2,Urgent
TREP,Electrical equipment servicing logged as completed under the regular schedule.,Low,Low,6,Normal
SSIG,Signal relay showing erratic behaviour affecting reliability; urgent maintenance recommended.,Medium,Low,1,Urgent
ERRL,Rail segment renewed as part of the standard asset lifecycle programme.,Medium,Low,13,Normal
TPWR,Periodic traction power equipment check completed with no issues found.,Low,Low,3,Normal
ETMW,Track tamping machine malfunction causing irregular track geometry; requires urgent repair before next scheduled traffic.,High,Medium,1,Critical
TREP,Standard electrical equipment check completed under periodic maintenance.,Low,Medium,6,Moderate
STEL,Telecom equipment performance degradation noted; can be addressed in the coming days.,Medium,High,4,Urgent
SREP,Signalling equipment failure detected at a key interlocking point; immediate repair necessary for safe operations.,High,Low,0,Critical
ETMR,Track surface slightly uneven per latest patrol; can be addressed in the coming days.,Medium,High,5,Urgent
SSIG,Signal aspect malfunction posing safety risk to train movement; immediate correction required.,Medium,Low,-1,Urgent
EOMT,Material train logistics reviewed as part of routine planning; no issues found.,Low,Medium,6,Moderate
ETMR,Track buckling reported due to extreme heat; immediate repair required for safe train passage.,Medium,Low,-1,Urgent
STEL,Standard telecom equipment check completed under periodic maintenance.,Low,Low,11,Normal
ERRL,Rail condition monitored as slightly below standard; renewal can be addressed in the coming days.,Low,Low,6,Moderate
TOHE,OHE contact wire severely worn and at risk of snapping; immediate maintenance necessary.,High,Low,-2,Critical
TOHE,OHE component showing early degradation signs; can be addressed in the coming days.,Medium,Low,7,Moderate
ETMW,Sudden track machine failure mid-operation has blocked the line unsafely; urgent intervention needed to restore safe passage.,High,Low,-3,Critical
TOHE,OHE component showing significant wear affecting current collection; urgent maintenance recommended.,High,High,1,Critical
TREP,Minor electrical fault noted during inspection; repair can be planned within the week.,Medium,High,7,Urgent
SSIG,Signal system fault has disrupted safe train working; immediate rectification required.,Medium,Medium,0,Critical
OTHR,Unclassified maintenance issue is affecting normal operations; urgent attention recommended.,Medium,Low,1,Urgent
STEL,Routine telecom equipment testing as per maintenance calendar.,Low,Medium,9,Moderate
ETMW,Track machine breakdown during possession has left the rail section unsafe for train movement; immediate rectification required.,High,High,-5,Critical
EOMT,Material train stopped unsafely on the running line due to a mechanical issue; immediate clearance required.,High,High,-4,Critical
